Password,Role,Staff ID,Name,Gender,Age,ID Tracker
doctortest,DOCTOR,D1001,John Smith,Male,45,1013
doctortest,DOCTOR,D1001,John Smith,Male,45,1001
doctortest,DOCTOR,D1001,John Smith,Male,45,1001
password,DOCTOR,D1002,Emily Clarke,Female,38,
doctortest,DOCTOR,D1003,Magnus Carlsen,Male,55,
password,DOCTOR,D1004,Anna Cramling,Female,46,
password,DOCTOR,D1005,Alexander Botez,Female,19,
password,DOCTOR,D1006,Judit Polgar,Female,20,
password,DOCTOR,D1007,Fabiano Caruana,Male,21,
password,DOCTOR,D1008,Elizabeth Harmon,Female,35,
password,DOCTOR,D1009,Vaishali Rameshbabu,Female,65,
password,DOCTOR,D1010,Garry Kasparov,Male,28,
password,DOCTOR,D1011,Viswanathan Anand,Male,40,
password,DOCTOR,D1012,Hikaru Nakamura,Male,22,
password,DOCTOR,D1013,harry porter,Female,99,
password1,PHARMACIST,H1001,Mark Lee,Male,29,
password,ADMINISTRATOR,A1001,Sarah Lee,Female,40,
